Variáveis;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;Não respondeu;Não se aplica;Total
Coletivo;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;30
Veículo próprio ou da família;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;17
Outro;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3
Não se aplica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Não respondeu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
